stem,image_path,iou,dice,ap
cju1c3218411b08014g9f6gig,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c3218411b08014g9f6gig.jpg,0.964774,0.982071,0.999323
cju1c4fcu40hl07992b8gj0c8,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c4fcu40hl07992b8gj0c8.jpg,0.945576,0.972027,0.997822
cju1c6yfz42md08550zgoz3pw,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c6yfz42md08550zgoz3pw.jpg,0.985853,0.992876,0.999864
cju1c8ffau5770835g0g343o8,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c8ffau5770835g0g343o8.jpg,0.925808,0.961475,0.996602
cju1cbokpuiw70988j4lq1fpi,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cbokpuiw70988j4lq1fpi.jpg,0.937248,0.967608,0.997845
cju1cdxvz48hw0801i0fjwcnk,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cdxvz48hw0801i0fjwcnk.jpg,0.949537,0.974115,0.998457
cju1cfhyg48bb0799cl5pr2jh,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cfhyg48bb0799cl5pr2jh.jpg,0.974167,0.986914,0.999609
cju1cj3f0qi5n0993ut8f49rj,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cj3f0qi5n0993ut8f49rj.jpg,0.946503,0.972516,0.994839
cju1cnnziug1l0835yh4ropyg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cnnziug1l0835yh4ropyg.jpg,0.953878,0.976395,0.998742
cju1cqc7n4gpy0855jt246k68,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cqc7n4gpy0855jt246k68.jpg,0.942478,0.970387,0.99836
cju1csmlc4ht10799b8ymmghg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1csmlc4ht10799b8ymmghg.jpg,0.974831,0.987255,0.999466
cju1cu1u2474n0878tt7v4tdr,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cu1u2474n0878tt7v4tdr.jpg,0.88764,0.940476,0.994799
cju1cvkfwqrec0993wbp1jlzm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cvkfwqrec0993wbp1jlzm.jpg,0.961169,0.9802,0.999342
cju1cyjb5qtie0993njqne9m3,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cyjb5qtie0993njqne9m3.jpg,0.980313,0.990059,0.999636
cju1d31sp4d4k0878r3fr02ul,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d31sp4d4k0878r3fr02ul.jpg,0.958065,0.978584,0.992103
cju1d50a94qf50855wsowacrc,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d50a94qf50855wsowacrc.jpg,0.964546,0.981953,0.999437
cju1d96gsv62d09881b3wecw2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d96gsv62d09881b3wecw2.jpg,0.964368,0.981861,0.999029
cju1ddr6p4k5z08780uuuzit2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ddr6p4k5z08780uuuzit2.jpg,0.915893,0.956101,0.993872
cju1dfeupuzlw0835gnxip369,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dfeupuzlw0835gnxip369.jpg,0.964645,0.982004,0.999148
cju1dg44i4z3w0801nyz4p6zf,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dg44i4z3w0801nyz4p6zf.jpg,0.596995,0.747648,0.957048
cju1dhfok4mhe0878jlgrag0h,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dhfok4mhe0878jlgrag0h.jpg,0.967156,0.983304,0.999326
cju1dia8hvc6v098827mgffnm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dia8hvc6v098827mgffnm.jpg,0.96396,0.981649,0.999005
cju1djtprvd7b0988thwwrg09,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1djtprvd7b0988thwwrg09.jpg,0.962111,0.98069,0.998246
cju1dnz61vfp40988e78bkjga,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dnz61vfp40988e78bkjga.jpg,0.938602,0.968329,0.997383
cju1dq3x1vgx109889c7wyirg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dq3x1vgx109889c7wyirg.jpg,0.970302,0.984927,0.999202
cju1drnhbrb9409935wi7vkhg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1drnhbrb9409935wi7vkhg.jpg,0.068009,0.127356,0.455279
cju1efbr0rqxz09931z0lf4vf,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1efbr0rqxz09931z0lf4vf.jpg,0.931455,0.964511,0.994782
cju1egh885m1l0855ci1lt37c,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1egh885m1l0855ci1lt37c.jpg,0.948342,0.973486,0.997571
cju1egx9pvz2n0988eoy8jp23,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1egx9pvz2n0988eoy8jp23.jpg,0.941317,0.969772,0.998826
cju1ejj7dvqfa0835ra184v5m,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ejj7dvqfa0835ra184v5m.jpg,0.970657,0.98511,0.999289
cju1erep75us208553i4ofwwe,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1erep75us208553i4ofwwe.jpg,0.976916,0.988323,0.999649
cju1euant5l960878iqj5vvto,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1euant5l960878iqj5vvto.jpg,0.918981,0.95778,0.99402
cju1euuc65wm00799m4sjdnnn,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1euuc65wm00799m4sjdnnn.jpg,0.963496,0.981409,0.999214
cju1ewnoh5z030855vpex9uzt,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ewnoh5z030855vpex9uzt.jpg,0.964926,0.98215,0.999153
cju1expq45zst0855rjqwwj4m,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1expq45zst0855rjqwwj4m.jpg,0.974083,0.986872,0.999014
cju1f15k3w4ct0835cmde6ypo,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f15k3w4ct0835cmde6ypo.jpg,0.959557,0.979361,0.998943
cju1f320ewfyu0988ndz6blh5,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f320ewfyu0988ndz6blh5.jpg,0.97192,0.98576,0.999318
cju1f5x1164xv08555654c24r,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f5x1164xv08555654c24r.jpg,0.974195,0.986929,0.999622
cju1f79yhsb5w0993txub59ol,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f79yhsb5w0993txub59ol.jpg,0.872549,0.931937,0.997475
cju1f8w0t65en0799m9oacq0q,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f8w0t65en0799m9oacq0q.jpg,0.947007,0.972783,0.996839
cju1fb9236a110801yvg0fwju,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fb9236a110801yvg0fwju.jpg,0.771724,0.871156,0.948925
cju1ffnjn6ctm08015perkg37,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ffnjn6ctm08015perkg37.jpg,0.968054,0.983768,0.999245
