stem,image_path,iou,dice,ap
cju1egh885m1l0855ci1lt37c,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1egh885m1l0855ci1lt37c.jpg,0.915789,0.956044,0.991688
cju1egx9pvz2n0988eoy8jp23,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1egx9pvz2n0988eoy8jp23.jpg,0.882955,0.937839,0.991321
cju1ejj7dvqfa0835ra184v5m,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ejj7dvqfa0835ra184v5m.jpg,0.948632,0.973639,0.997664
cju1erep75us208553i4ofwwe,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1erep75us208553i4ofwwe.jpg,0.958976,0.979058,0.998538
cju1euant5l960878iqj5vvto,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1euant5l960878iqj5vvto.jpg,0.800349,0.889104,0.979603
cju1euuc65wm00799m4sjdnnn,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1euuc65wm00799m4sjdnnn.jpg,0.931225,0.964388,0.995356
cju1ewnoh5z030855vpex9uzt,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ewnoh5z030855vpex9uzt.jpg,0.95214,0.975483,0.998869
cju1expq45zst0855rjqwwj4m,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1expq45zst0855rjqwwj4m.jpg,0.965467,0.98243,0.999082
cju1f15k3w4ct0835cmde6ypo,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f15k3w4ct0835cmde6ypo.jpg,0.929356,0.963385,0.997812
cju1f320ewfyu0988ndz6blh5,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f320ewfyu0988ndz6blh5.jpg,0.920924,0.958834,0.988534
cju1f5x1164xv08555654c24r,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f5x1164xv08555654c24r.jpg,0.958055,0.978578,0.998631
cju1f79yhsb5w0993txub59ol,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f79yhsb5w0993txub59ol.jpg,0.905009,0.950136,0.991706
cju1f8w0t65en0799m9oacq0q,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1f8w0t65en0799m9oacq0q.jpg,0.929832,0.96364,0.996558
cju1fb9236a110801yvg0fwju,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fb9236a110801yvg0fwju.jpg,0.921317,0.959048,0.994932
cju1ffnjn6ctm08015perkg37,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ffnjn6ctm08015perkg37.jpg,0.949112,0.973892,0.998117
cju1fj6axwfp30835ukhuzhw9,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fj6axwfp30835ukhuzhw9.jpg,0.960168,0.979679,0.998806
cju1fjsb4sipq09931lvd8e41,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fjsb4sipq09931lvd8e41.jpg,0.805097,0.892026,0.983153
